vrijeme,klasa,pouzdanost
2026-09-17 15:27:03.692,car,0.6013
2026-09-17 15:27:03.692,car,0.3554
2026-09-17 15:27:03.776,car,0.8503
2026-09-17 15:27:03.776,car,0.47
2026-09-17 15:27:03.858,car,0.8839
2026-09-17 15:27:03.858,car,0.5701
2026-09-17 15:27:03.858,car,0.5144
2026-09-17 15:27:03.947,car,0.8695
2026-09-17 15:27:03.947,car,0.4889
2026-09-17 15:27:04.024,car,0.874
2026-09-17 15:27:04.024,car,0.5128
2026-09-17 15:27:04.024,car,0.3996
2026-09-17 15:27:04.103,car,0.897
2026-09-17 15:27:04.103,car,0.5185
2026-09-17 15:27:04.103,truck,0.4207
2026-09-17 15:27:04.103,car,0.3278
2026-09-17 15:27:04.184,car,0.8839
2026-09-17 15:27:04.184,car,0.6444
2026-09-17 15:27:04.184,car,0.5088
2026-09-17 15:27:04.274,car,0.9084
2026-09-17 15:27:04.274,car,0.5455
2026-09-17 15:27:04.274,bus,0.2929
2026-09-17 15:27:04.274,truck,0.2731
2026-09-17 15:27:04.373,car,0.885
2026-09-17 15:27:04.373,car,0.4981
2026-09-17 15:27:04.487,car,0.8773
2026-09-17 15:27:04.487,car,0.4321
2026-09-17 15:27:04.487,bus,0.3048
2026-09-17 15:27:04.588,car,0.9355
2026-09-17 15:27:04.588,car,0.3699
2026-09-17 15:27:04.588,truck,0.3427
